Food_Code,Thai_Name,English_Name,Scientific_name,SUGAR(g),Protein(g),Fat(g),Energy(kcal) by calculation,CHOCDF (g) Carbohydrate,FIBTG (g) Dietary fibre
A1,"ข้าวกล้อง, พันธุ์หอมมะลิ, ดิบ","Rice, brown, Jasmine variety, raw",Oryza sativa,0.25,7.34,2.95,363,-,3.5
A10,"ข้าวเจ้า, พันธุ์ต่างๆ, ดิบ","Rice, polished, raw",Oryza sativa,-,6.68,0.76,359,-,0.9
A11,"ข้าวเจ้า, สุก","Rice, polished, cooked",Oryza sativa,0,2.28,0.24,-,31.1,-
A116,"ข้าวกล้อง, พันธุ์เจ้าหอมนิล, อินทรีย์","Rice, unpolished, Jao-hawm-nin, organic, raw",Oryza sativa,-,9.6,3.2,368,-,3.8
A117,"ข้าวกล้อง, งอก, นึ่ง","Rice, brown, germinated, steamed",Oryza sativa,-,3.1,1.16,152,-,1.2
A12,"ข้าวเจ้า, พันธุ์หอมมะลิ, ดิบ","Rice, polished, Jasmine variety, raw",Oryza sativa,-,6.45,0.71,357,-,0.7
A120,แป้งสาลี โฮลมีล,Wheat wholemeal flour,Triticum aestivum,-,14.1,1.4,335,-,9.9
A121,หมี่ตะคุ/หมี่โคราช,"Noodles, rice, vermicelli, Thai Korat style (Mee-ta-ku/Mee-ko-rat)",-,18.3,4.8,6,393,-,1.3
A124,"ข้าวบาเล่ย์, ดิบ","Barley, raw",-,-,8.3,0.7,335,-,9.4
A125,"ข้าวสาลี, ดิบ","Wheat, raw",Triticum vulgare,-,12.2,1.4,342,-,11.7
A126,"ข้าวโอ๊ต, ดิบ","Oats, raw",Avena sativa,-,10.8,5.9,361,-,9.9
A127,"บะหมี่กึ่งสำเร็จรูป, พร้อมเครื่องปรุง, รสไก่","Noodles, wheat, instant, with seasoning, chicken flavour",-,3.17,9.86,20.6,457,-,4.4
A128,"ก๋วยเตี๋ยว, ผัดไทย, กึ่งสำเร็จรูป","Rice noodles,stir fried with pad-thai sauce (Guay-teaw pad-thai )",-,17.3,4.47,0.4,270,-,1.4
A13,"ข้าวซ้อมมือ, ดิบ","Rice, home-pounded, brown, raw",-,-,6.85,2.31,357,-,1.7
A14,"ข้าวเจ้า, พันธุ์เจ้าหอมนิล, ดิบ","Rice, milled, Jao-hawm-nin variety, raw",Oryza sativa,0.1,7.77,1.3,360,-,1.8
A15,"ข้าวโพดหวาน, เมล็ดสีเหลือง, ดิบ","Corn, sweet, whole kernel, yellow, raw",Zea mays,-,3.4,1.4,-,21.1,-
A16,"ข้าวโพดหวาน, เมล็ดสีเหลือง, ต้ม","Corn, sweet, whole kernel, yellow, boiled",Zea mays,6.83,2.8,5.3,107,-,3.3
A17,แผ่นข้าวโพดอบกรอบ,Corn flakes,-,6.71,6.31,0.24,363,-,4.4
A18,"แผ่นข้าวโพดอบกรอบ, เคลือบน้ำตาล","Corn flakes, sugar coated",-,37.1,4.01,0.17,343,-,19.3
A19,"ข้าวมันปู, ดิบ","Rice, whole grain, Mun-pu variety, raw",Oryza sativa,-,7.1,2.75,355,-,3.9
A2,"ข้าวกล้อง, พันธุ์เจ้าหอมนิล, ดิบ","Rice, brown. Jao-hawm-nin variety, raw",Oryza sativa,0.4,9.35,3.5,367,-,4.2
A20,"ข้าวเม่า, ข้าวเจ้า","Rice, flakes",Oryza sativa,-,7.3,2.07,-,76.03,-
A21,"ข้าวเม่า, ข้าวเหนียวขาว","Rice, glutinous, flakes",Oryza glutinosa,-,6.83,1.9,-,79.9,-
A22,"ข้าวเหนียว, ดิบ","Rice, glutinous, polished, raw",Oryza glutinosa,-,6.3,0.62,354,-,0.5
A23,"ข้าวเหนียว, นึ่ง","Rice, glutinous, polished, steamed",Oryza glutinosa,-,4.54,0.21,232,-,0.3
A24,"ข้าวเหนียวดำ, ดิบ","Rice, glutinous, black variety, raw",Oryza glutinosa,-,7.46,2.87,350,-,4.9
